Transaction Id,Customer Id,Date,value,category 
100000000,100060,1/1/2020,1144,computer equipment
100000001,100061,1/2/2020,930,furniture
100000002,100043,1/3/2020,4521,household appliances
100000003,100039,1/3/2020,3578,alcohol and beverage
100000004,100098,1/3/2020,4280,alcohol and beverage
100000005,100021,1/3/2020,4038,food
100000006,100160,1/5/2020,1948,computer equipment
100000007,100071,1/5/2020,105,alcohol and beverage
100000008,100135,1/9/2020,5809,furniture
100000009,100069,1/13/2020,3999,household appliances
100000010,100002,1/14/2020,3028,alcohol and beverage
100000011,100032,1/15/2020,620,food
100000012,100031,1/15/2020,2753,apparel
100000013,100180,1/17/2020,2761,alcohol and beverage
100000014,100020,1/18/2020,2050,furniture
100000015,100013,1/19/2020,5463,alcohol and beverage
100000016,100176,1/19/2020,4923,food
100000017,100167,1/22/2020,3085,household appliances
100000018,100013,1/22/2020,2221,food
100000019,100061,1/24/2020,1416,furniture
100000020,100071,1/26/2020,2008,household appliances
100000021,100133,1/26/2020,5428,computer equipment
100000022,100085,1/27/2020,4953,food
100000023,100050,1/28/2020,3456,household appliances
100000024,100005,1/28/2020,3311,food
100000025,100022,1/28/2020,149,apparel
100000026,100188,1/30/2020,7193,computer equipment
100000027,100200,1/31/2020,1972,computer equipment
100000028,100181,2/2/2020,3105,apparel
100000029,100046,2/2/2020,2713,apparel
100000030,100097,2/3/2020,1754,alcohol and beverage
100000031,100083,2/4/2020,1524,computer equipment
100000032,100117,2/4/2020,2586,furniture
100000033,100182,2/4/2020,2322,furniture
100000034,100124,2/5/2020,2635,computer equipment
100000035,100199,2/5/2020,1952,computer equipment
100000036,100161,2/5/2020,1980,furniture
100000037,100075,2/6/2020,4348,computer equipment
100000038,100009,2/6/2020,4792,alcohol and beverage
100000039,100178,2/6/2020,4939,household appliances
100000040,100072,2/7/2020,1871,computer equipment
100000041,100064,2/9/2020,501,computer equipment
100000042,100092,2/11/2020,4237,apparel
100000043,100013,2/11/2020,2367,apparel
100000044,100014,2/11/2020,4065,computer equipment
100000045,100150,2/14/2020,3730,household appliances
100000046,100011,2/17/2020,3062,alcohol and beverage
100000047,100087,2/19/2020,3063,alcohol and beverage
100000048,100089,2/23/2020,2161,apparel
100000049,100062,2/24/2020,2385,furniture
100000050,100179,2/24/2020,6039,computer equipment
100000051,100038,2/25/2020,5878,alcohol and beverage
100000052,100021,2/25/2020,3107,apparel
100000053,100014,2/25/2020,3060,furniture
100000054,100104,2/26/2020,2686,apparel
100000055,100000,2/27/2020,1229,furniture
100000056,100112,2/28/2020,1005,household appliances
100000057,100013,2/29/2020,1141,household appliances
